Unnamed: 0,o_fnid,fnid,cnt,stime,etime
389,54131,54131,6.0,2022-10-10 00:00:46,2022-10-10 00:36:53
390,21124,21124,12.0,2022-10-10 00:00:46,2022-10-10 00:11:32
391,12615,12615,7.0,2022-10-10 00:00:46,2022-10-10 08:37:35
392,32602,32602,13.0,2022-10-10 00:00:46,2022-10-10 00:39:03
393,30822,30822,26.0,2022-10-10 00:00:46,2022-10-10 06:18:21
394,12614,12614,12.0,2022-10-10 00:00:46,2022-10-10 00:54:02
395,24754,24754,28.0,2022-10-10 00:00:46,2022-10-10 00:47:38
396,22546,22546,15.0,2022-10-10 00:00:46,2022-10-10 00:17:53
397,41535,41535,8.0,2022-10-10 00:00:46,2022-10-10 16:40:48
398,45372,45372,20.0,2022-10-10 00:00:46,2022-10-10 01:44:20
399,29032,29032,3.0,2022-10-10 00:00:46,2022-10-10 18:11:45
400,50414,50414,23.0,2022-10-10 00:00:46,2022-10-10 01:03:08
401,20752,20752,34.0,2022-10-10 00:00:46,2022-10-10 00:07:00
402,39726,39726,13.0,2022-10-10 00:00:46,2022-10-10 03:02:32
403,52704,52704,11.0,2022-10-10 00:00:46,2022-10-10 10:31:25
404,19322,19322,16.0,2022-10-10 00:00:47,2022-10-10 00:08:07
405,30822,30822,17.0,2022-10-10 00:00:47,2022-10-10 00:00:47
406,42961,42961,15.0,2022-10-10 00:00:47,2022-10-10 00:10:06
407,17288,17288,7.0,2022-10-10 00:00:47,2022-10-10 10:37:11
408,31959,31959,3.0,2022-10-10 00:00:47,2022-10-10 14:16:07
409,30822,30822,17.0,2022-10-10 00:00:47,2022-10-10 00:15:21
410,19325,19325,19.0,2022-10-10 00:00:47,2022-10-10 00:29:37
411,29764,29764,16.0,2022-10-10 00:00:47,2022-10-10 02:37:23
412,50397,50397,18.0,2022-10-10 00:00:47,2022-10-10 00:09:24
413,31213,31213,28.0,2022-10-10 00:00:47,2022-10-10 00:14:33
414,32669,32669,6.0,2022-10-10 00:00:47,2022-10-10 00:12:38
415,14056,14056,22.0,2022-10-10 00:00:47,2022-10-10 00:07:31
416,34397,34397,10.0,2022-10-10 00:00:47,2022-10-10 08:12:46
417,34397,34397,7.0,2022-10-10 00:00:48,2022-10-10 07:22:35
418,50919,50919,7.0,2022-10-10 00:00:48,2022-10-10 00:13:52
419,21819,21819,33.0,2022-10-10 00:00:48,2022-10-10 00:09:04
420,27973,28329,2.0,2022-10-10 00:00:48,2022-10-10 23:38:09
421,14774,14774,5.0,2022-10-10 00:00:48,2022-10-10 03:30:12
422,54130,54130,3.0,2022-10-10 00:00:48,2022-10-10 08:52:37
423,32245,32245,11.0,2022-10-10 00:00:48,2022-10-10 01:31:54
424,19323,19323,18.0,2022-10-10 00:00:48,2022-10-10 00:18:21
425,33029,33029,4.0,2022-10-10 00:00:49,2022-10-10 15:33:35
426,41607,41607,12.0,2022-10-10 00:00:49,2022-10-10 00:10:37
427,45722,46079,7.0,2022-10-10 00:00:49,2022-10-10 00:08:29
428,30471,30471,21.0,2022-10-10 00:00:49,2022-10-10 00:47:30
429,32663,31958,16.0,2022-10-10 00:00:49,2022-10-10 01:48:09
430,16134,16134,30.0,2022-10-10 00:00:49,2022-10-10 00:15:27
431,34397,34397,9.0,2022-10-10 00:00:49,2022-10-10 00:24:00
432,34754,34754,18.0,2022-10-10 00:00:49,2022-10-10 00:07:02
433,36158,36158,17.0,2022-10-10 00:00:49,2022-10-10 04:53:10
434,37366,37728,7.0,2022-10-10 00:00:49,2022-10-10 00:13:32
435,48747,48747,23.0,2022-10-10 00:00:49,2022-10-10 05:01:54
436,47334,47334,27.0,2022-10-10 00:00:49,2022-10-10 00:30:21
437,31960,31960,9.0,2022-10-10 00:00:49,2022-10-10 07:10:23
438,30453,30453,9.0,2022-10-10 00:00:50,2022-10-10 00:54:18
439,36661,36661,14.0,2022-10-10 00:00:50,2022-10-10 00:28:33
440,24398,24398,13.0,2022-10-10 00:00:50,2022-10-10 09:22:35
441,18682,18682,3.0,2022-10-10 00:00:50,2022-10-10 17:31:52
442,41075,41075,21.0,2022-10-10 00:00:50,2022-10-10 01:04:30
443,54131,54131,6.0,2022-10-10 00:00:50,2022-10-10 07:34:42
444,36661,36661,6.0,2022-10-10 00:00:50,2022-10-10 08:24:31
445,36661,36661,27.0,2022-10-10 00:00:50,2022-10-10 00:57:12
446,21475,21475,19.0,2022-10-10 00:00:50,2022-10-10 00:28:07
447,25134,25134,31.0,2022-10-10 00:00:50,2022-10-10 06:51:48
448,18966,18966,8.0,2022-10-10 00:00:51,2022-10-10 01:50:11
449,30828,30828,9.0,2022-10-10 00:00:51,2022-10-10 00:14:42
450,31168,31168,3.0,2022-10-10 00:00:51,2022-10-10 00:48:52
451,30453,30453,21.0,2022-10-10 00:00:51,2022-10-10 00:10:36
452,37368,37368,14.0,2022-10-10 00:00:51,2022-10-10 10:57:23
453,28676,28676,15.0,2022-10-10 00:00:51,2022-10-10 01:25:46
454,47588,47588,22.0,2022-10-10 00:00:51,2022-10-10 00:09:09
455,17288,17288,28.0,2022-10-10 00:00:52,2022-10-10 00:09:29
456,45549,45549,25.0,2022-10-10 00:00:52,2022-10-10 00:18:04
457,48749,48749,25.0,2022-10-10 00:00:52,2022-10-10 00:35:14
458,48749,48749,25.0,2022-10-10 00:00:52,2022-10-10 00:00:52
459,32315,32315,3.0,2022-10-10 00:00:52,2022-10-10 00:23:14
460,16931,16931,15.0,2022-10-10 00:00:52,2022-10-10 08:15:51
461,29665,29665,4.0,2022-10-10 00:00:52,2022-10-10 08:04:35
462,30114,30114,12.0,2022-10-10 00:00:52,2022-10-10 00:11:47
463,21463,21463,8.0,2022-10-10 00:00:52,2022-10-10 09:15:32
464,25140,24781,23.0,2022-10-10 00:00:52,2022-10-10 00:15:09
465,18966,18966,6.0,2022-10-10 00:00:52,2022-10-10 08:09:11
466,37556,37556,6.0,2022-10-10 00:00:52,2022-10-10 00:08:18
467,28672,28672,24.0,2022-10-10 00:00:53,2022-10-10 07:07:48
468,25501,25501,6.0,2022-10-10 00:00:53,2022-10-10 12:34:00
469,19690,19690,9.0,2022-10-10 00:00:53,2022-10-10 00:43:53
470,14775,14775,18.0,2022-10-10 00:00:53,2022-10-10 00:54:16
471,34397,34397,23.0,2022-10-10 00:00:53,2022-10-10 00:07:55
472,28723,28723,12.0,2022-10-10 00:00:53,2022-10-10 00:11:39
473,16575,16575,12.0,2022-10-10 00:00:53,2022-10-10 00:07:26
474,56799,56799,35.0,2022-10-10 00:00:53,2022-10-10 00:19:06
475,33662,33662,17.0,2022-10-10 00:00:53,2022-10-10 07:11:56
476,52541,52541,10.0,2022-10-10 00:00:53,2022-10-10 00:11:42
477,19323,19323,14.0,2022-10-10 00:00:53,2022-10-10 00:29:06
478,28675,28675,5.0,2022-10-10 00:00:53,2022-10-10 10:00:43
479,21482,21482,26.0,2022-10-10 00:00:54,2022-10-10 08:31:42
480,27258,27258,26.0,2022-10-10 00:00:54,2022-10-10 00:31:51
481,19678,19678,3.0,2022-10-10 00:00:54,2022-10-10 13:25:51
482,32314,32314,10.0,2022-10-10 00:00:54,2022-10-10 08:09:29
483,12971,12971,26.0,2022-10-10 00:00:54,2022-10-10 00:43:17
484,12978,12978,12.0,2022-10-10 00:00:54,2022-10-10 00:16:56
485,36661,36661,7.0,2022-10-10 00:00:54,2022-10-10 00:12:35
486,32318,32318,12.0,2022-10-10 00:00:54,2022-10-10 00:12:25
487,23255,23255,17.0,2022-10-10 00:00:54,2022-10-10 00:19:28
488,52163,52163,12.0,2022-10-10 00:00:54,2022-10-10 00:19:41
489,31240,31240,15.0,2022-10-10 00:00:54,2022-10-10 00:13:27
490,17904,19330,9.0,2022-10-10 00:00:54,2022-10-10 00:22:14
491,52542,52542,11.0,2022-10-10 00:00:54,2022-10-10 00:37:24
492,29033,29033,4.0,2022-10-10 00:00:55,2022-10-10 12:21:06
493,26205,26205,43.0,2022-10-10 00:00:55,2022-10-10 00:15:50
494,39726,39726,34.0,2022-10-10 00:00:55,2022-10-10 00:17:38
495,25114,25114,14.0,2022-10-10 00:00:55,2022-10-10 04:21:19
496,32245,32245,9.0,2022-10-10 00:00:55,2022-10-10 00:23:50
497,21116,21116,8.0,2022-10-10 00:00:55,2022-10-10 11:57:28
498,14412,14412,15.0,2022-10-10 00:00:55,2022-10-10 00:07:30
499,28672,28672,39.0,2022-10-10 00:00:55,2022-10-10 00:21:34
